Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
603246,20.16,2,6.45,80788.0,10593.2,31,31,100.0,1401/01
603190,,0,0.0,,0.0,31,31,100.0,1401/01
515767,4.67,0,0.0,607.1,5738.154,31,31,100.0,1401/01
529339,31.62,0,0.0,55393.6,81565.5,31,31,100.0,1401/01
514155,,0,0.0,109.8,3438.57,31,31,100.0,1401/01
805785,,0,0.0,0.0,0.0,28,31,90.32,1401/01
603396,,0,0.0,0.0,0.0,5,31,16.13,1401/01
911500,,0,0.0,0.0,0.0,31,31,100.0,1401/01
517936,2.23,0,0.0,36600.1,5737.05,31,31,100.0,1401/01
609154,0.49,0,0.0,4012.4,1049.12,31,31,100.0,1401/01
514596,4.91,0,0.0,53206.9,11641.7,31,31,100.0,1401/01
529106,40.55,0,0.0,15721.9,99417.2,31,31,100.0,1401/01
515846,1.73,0,0.0,2150.0,25.623,31,31,100.0,1401/01
517200,9.34,0,0.0,68133.8,8546.5,31,31,100.0,1401/01
912936,0.3,1,3.23,,0.37,31,31,100.0,1401/01
602018,,0,0.0,,0.0,31,31,100.0,1401/01
518453,11.56,0,0.0,177632.4,30887.7,31,31,100.0,1401/01
804970,,0,0.0,,0.0,31,31,100.0,1401/01
529034,7.5,0,0.0,47505.0,20007.7,31,31,100.0,1401/01
518542,3.81,0,0.0,9630.5,6941.54,31,31,100.0,1401/01
604175,12.06,5,16.13,4426.5,32116.123,31,31,100.0,1401/01
515395,,0,0.0,,0.0,31,31,100.0,1401/01
529026,,0,0.0,1100.7,62825.86,14,31,45.16,1401/01
529092,,0,0.0,3297.7,50606.94,31,31,100.0,1401/01
514581,16.21,0,0.0,39493.4,14963.1,31,31,100.0,1401/01
515074,4.44,13,41.94,170510.9,289356.1,31,31,100.0,1401/01
603108,17.89,1,3.23,43811.8,12055.08,31,31,100.0,1401/01
