Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
529154,کشاورزی,مشهد,909801033887.0,100.0,1399/12/25,1403/09/19 - 02:10:40,237158.8,1553894.3,2.55
529231,کشاورزی,مشهد,909801035605.0,100.0,1400/08/18,1404/01/28 - 03:10:32,189269.78,449851.2,4.87
529104,کشاورزی,مشهد,909801041685.0,100.0,1401/08/07,1403/10/12 - 01:40:58,18390.61,23110.2,3.23
603187,کشاورزی,تربت حیدریه,909801039442.0,100.0,1401/07/17,1404/01/28 - 02:07:55,115370.7,8552.3,14.25
102965,کشاورزی,سبزوار,909801063159.0,150.0,1403/03/29,1404/01/28 - 03:04:49,,,
514193,کشاورزی,مشهد,909801056405.0,150.0,1402/11/26,1404/01/28 - 03:10:24,,,
622449,کشاورزی,تربت حیدریه,909801033620.0,80.0,1399/11/27,1404/01/28 - 03:11:12,116437.8,366819.3,6.62
529013,کشاورزی,مشهد,909801033012.0,150.0,1399/07/13,1404/01/28 - 02:10:38,1777457.5,3829521.1,18.39
805852,کشاورزی,نیشابور,909801036987.0,50.0,1400/08/20,1404/01/28 - 03:08:57,11391.973,50559.0,1.06
606141,کشاورزی,گناباد,909801047202.0,150.0,1401/11/29,1404/01/24 - 03:11:20,87162.2,1171.7,39.52
102539,کشاورزی,سبزوار,909801041133.0,50.0,1401/02/18,1403/01/05 - 02:05:06,4389.113,558.5,2.96
805353,کشاورزی,نیشابور,909801034398.0,50.0,1400/01/31,1403/10/08 - 02:11:45,41072.35,81508.0,3.7
529233,کشاورزی,مشهد,909801036336.0,125.0,1400/09/06,1403/04/08 - 02:07:33,81429.66,508563.1,3.43
514675,کشاورزی,مشهد,909801033238.0,125.0,1399/08/04,1404/01/28 - 03:10:35,524465.2,618060.0,37.34
100052,کشاورزی,سبزوار,909801065637.0,80.0,1403/05/22,1404/01/28 - 03:12:02,,,
529241,کشاورزی,مشهد,909801033241.0,125.0,1399/09/15,1404/01/28 - 02:11:11,196859.3,1042807.1,16.61
805047,کشاورزی,نیشابور,909801035028.0,50.0,1400/08/05,1402/05/01 - 03:13:00,19581.109,60269.7,2.94
514009,کشاورزی,مشهد,909801044822.0,150.0,1401/06/16,1404/01/28 - 03:10:41,313176.9,53078.1,25.2
515633,کشاورزی,مشهد,909801037109.0,125.0,1400/09/24,1404/01/28 - 03:10:47,198051.5,558064.9,7.92
924100,کشاورزی,تربت جام,909801032747.0,150.0,1399/07/03,1402/05/13 - 02:10:51,153584.746,406929.7,8.99
514828,کشاورزی,مشهد,909801032442.0,150.0,1399/04/24,1404/01/28 - 02:01:56,,,
603145,کشاورزی,تربت حیدریه,909801062065.0,200.0,1403/05/21,1404/01/23 - 03:11:27,,,
603140,کشاورزی,تربت حیدریه,909801065660.0,150.0,1403/05/24,1404/01/28 - 03:11:28,,,
