,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
80,519684,کشاورزی,مشهد,909801034390.0,80.0,1400/04/21,1402/09/18 - 02:11:03,19949.516,91876.0,1.77
81,301144,کشاورزی,تربت حیدریه,909801035303.0,150.0,1400/03/26,1404/01/28 - 03:10:56,1338828.64,626968.3,12.83
82,515854,کشاورزی,مشهد,909801036375.0,150.0,1400/07/29,1404/01/28 - 02:10:32,217430.4,189022.0,10.47
83,515855,کشاورزی,مشهد,909801036487.0,150.0,1400/08/01,1404/01/28 - 02:10:34,522822.3,791026.0,9.44
84,514847,کشاورزی,مشهد,909801036532.0,80.0,1400/07/29,1404/01/28 - 02:10:29,45124.7,424626.1,2.31
85,515530,کشاورزی,مشهد,909801032736.0,150.0,1399/07/09,1404/01/28 - 03:08:35,685687.52,753641.6,12.69
86,515529,کشاورزی,مشهد,909801032842.0,150.0,1399/07/09,1404/01/28 - 02:10:37,188795.0,563453.1,9.4
87,517015,صنعتی,مشهد,909801051635.0,50.0,1402/03/13,1404/01/28 - 03:10:38,,,
88,515877,شرب و بهداشت دام,مشهد,909801036620.0,50.0,1400/08/04,1404/01/28 - 02:10:32,0.4,0.0,
89,603011,کشاورزی,تربت حیدریه,909801050924.0,150.0,1402/04/19,1404/01/28 - 03:09:58,,,
90,102799,کشاورزی,سبزوار,909801035576.0,125.0,1400/04/10,1404/01/20 - 02:08:42,83443.38,455457.3,4.93
91,529229,کشاورزی,مشهد,909801035396.0,150.0,1400/04/13,1404/01/28 - 02:10:30,391496.3,853113.5,14.96
92,529219,کشاورزی,مشهد,909801035564.0,150.0,1400/04/14,1404/01/28 - 02:08:37,367239.7,1044163.9,14.2
93,615431,صنعتی,تربت حیدریه,909801036730.0,50.0,1400/07/12,1404/01/28 - 02:10:34,10382.982,61922.1,1.16
94,514697,صنعتی,مشهد,909801034767.0,150.0,1400/02/16,1403/08/16 - 02:11:25,741054.7,1299846.4,30.43
95,911838,خدمات,تربت جام,909801032722.0,80.0,1399/06/11,1404/01/28 - 02:10:34,39679.655,399.5,5.46
