,کد اشتراک,نوع پروانه,شهرستان,سریال کنتور,سایز کنتور,تاریخ نصب,زمان آخرین اتصال,مصرف بازه (m³),ساعت کارکرد بازه (h),میانگین دبی بازه l/s
820,4245931,,کاشمر,929801000534.0,15.0,1403/08/12,1404/01/27 - 13:53:10,,,
821,4245936,,کاشمر,929801000537.0,15.0,1403/07/21,1404/01/27 - 13:51:40,,,
822,517337,صنعتی,مشهد,909801058874.0,50.0,1402/12/05,1404/01/28 - 03:10:30,,,
823,514814,کشاورزی,مشهد,909801035644.0,125.0,1400/06/11,1404/01/26 - 01:40:46,175942.22,611736.5,7.01
824,100168,خدمات,سبزوار,909801041732.0,125.0,1401/03/05,1404/01/28 - 02:10:34,148968.5,109683.0,18.08
825,100169,خدمات,سبزوار,909801046726.0,125.0,1401/07/19,1404/01/28 - 03:06:42,34334.94,388.9,32.45
827,525966,خدمات,مشهد,909801036621.0,50.0,1400/07/25,1404/01/28 - 02:11:02,7589.145,13298.0,3.74
828,517780,خدمات,مشهد,909801032047.0,80.0,1398/12/15,1404/01/28 - 03:10:32,-263257.58,678064.7,13.08
829,519309,خدمات,مشهد,909801047059.0,50.0,1401/09/02,1404/01/28 - 03:11:36,121.546,49.0,2.89
830,514163,,مشهد,909801033244.0,200.0,1399/12/03,1404/01/26 - 02:10:42,189680.303,234.9,14.83
831,100001,,مشهد,909801034126.0,150.0,1399/12/11,1404/01/09 - 02:07:30,932385.418,876649.9,24.94
832,100004,,مشهد,909801034222.0,150.0,1399/11/28,1404/01/28 - 02:10:44,282486.1,444748.0,35.09
833,514164,,مشهد,909801034421.0,200.0,1400/02/03,1403/06/16 - 02:10:45,,,
834,100005,,مشهد,909801034714.0,250.0,1400/02/02,1402/02/18 - 12:32:21,,,
835,514870,,مشهد,909801067617.0,200.0,1404/01/17,1404/01/28 - 03:10:36,,,
836,518168,کشاورزی,مشهد,909801032656.0,125.0,1399/06/24,1403/04/19 - 00:51:03,99320.6,599437.5,5.34
837,517344,کشاورزی,مشهد,909801053573.0,150.0,1403/04/27,1404/01/28 - 03:11:12,,,
838,515713,صنعتی,مشهد,909801033414.0,100.0,1399/09/12,1404/01/28 - 02:10:44,33029.711,1840057.4,6.66
839,514049,کشاورزی,مشهد,909801063187.0,150.0,1403/04/19,1404/01/28 - 02:35:20,,,
840,516618,صنعتی,مشهد,909801046517.0,50.0,1401/08/10,1404/01/28 - 03:11:24,19581.37,21171.4,3.77
841,805446,صنعتی,نیشابور,909801035428.0,150.0,1400/04/15,1403/09/08 - 02:10:03,258073.4,610905.3,25.93
842,600136,کشاورزی,تربت حیدریه,909801059526.0,80.0,1403/01/09,1404/01/28 - 03:10:46,,,
843,515200,صنعتی,مشهد,909801067640.0,50.0,1403/08/13,1404/01/28 - 03:06:58,,,
844,518827,صنعتی,مشهد,909801061714.0,50.0,1403/06/06,1404/01/28 - 03:10:49,,,
845,14211184,,خرو,929801000171.0,40.0,1402/10/12,1404/01/27 - 13:47:12,,,
846,515057,,مشهد,909801056024.0,200.0,1403/03/09,1404/01/28 - 02:51:56,,,
847,514366,کشاورزی,مشهد,909801036374.0,150.0,1400/07/27,1404/01/28 - 01:56:07,189551.33,962537.6,7.75
848,805879,شرب و بهداشت دام,نیشابور,909801037443.0,50.0,1400/09/29,1403/12/25 - 02:11:29,2416.584,4740.9,0.85
849,804632,کشاورزی,مشهد,909801046630.0,150.0,1403/11/18,1403/07/06 - 03:02:28,0.0,,
850,911438,شرب و بهداشت دام,تربت جام,909801037951.0,50.0,1400/10/15,1403/12/04 - 02:04:29,10226.895,91811.7,1.14
851,910902,کشاورزی,تربت جام,909801037895.0,150.0,1400/10/19,1404/01/27 - 02:10:17,84361.01,193435.5,15.43
852,529101,,مشهد,909801056984.0,200.0,1403/03/07,1404/01/28 - 02:06:08,,,
854,101064,شرب و بهداشت دام,سبزوار,909801055476.0,50.0,1403/03/30,1404/01/28 - 03:10:33,,,
855,519195,,مشهد,909801052633.0,200.0,1402/04/01,1404/01/11 - 02:44:49,,,
856,519563,شرب و بهداشت دام,مشهد,909801052751.0,200.0,1402/04/22,1404/01/28 - 03:10:26,,,
857,515433,شرب شهری,مشهد,909801063379.0,50.0,1403/04/12,1404/01/28 - 03:06:06,,,
858,606085,کشاورزی,تربت حیدریه,909801033625.0,150.0,1401/06/05,1404/01/28 - 02:56:06,135.906,,7.69
859,14211362,,خرو,929801000001.0,50.0,1402/03/30,1404/01/28 - 03:10:59,,,
860,602428-1,,خواف,909801037811.0,80.0,1401/11/25,1404/01/28 - 02:08:10,29633.75,38332.1,10.9
861,602428-2,,خواف,909801037815.0,80.0,1401/11/25,1404/01/28 - 03:05:17,1125.107,97.1,3.76
862,602667,,خواف,909801037817.0,80.0,1401/11/26,1404/01/28 - 02:11:00,0.0,,
863,602433,,خواف,909801045529.0,150.0,1401/06/10,1404/01/28 - 02:10:52,21122.85,1258.2,20.11
864,602431,,خواف,909801045533.0,150.0,1401/06/10,1404/01/28 - 02:07:11,77309.42,25382.6,13.24
865,602432,,خواف,909801045534.0,150.0,1401/06/10,1404/01/28 - 02:11:04,414.029,11.0,6.68
867,602430,,خواف,909801045536.0,150.0,1401/06/09,1404/01/28 - 01:56:01,315972.4,4285.2,21.17
868,111111,,مشهد,909801032852.0,80.0,1400/01/28,1404/01/28 - 02:10:49,3316.235,15223.8,6.27
869,111122,,مشهد,909801032854.0,80.0,1400/01/28,1403/04/09 - 01:54:14,12501.4,503846.7,3.11
870,111111,,مشهد,909801033219.0,100.0,1400/01/28,1404/01/28 - 02:08:46,144957.1,1329418.4,8.6
871,111111,,مشهد,909801033221.0,100.0,1400/01/28,1404/01/28 - 02:08:07,209512.6,2076372.8,8.78
872,111111,,مشهد,909801033229.0,80.0,1400/01/28,1404/01/28 - 00:44:00,195455.0,180577.6,3.0
873,111111,,مشهد,909801033313.0,80.0,1400/01/28,1404/01/28 - 00:40:37,68429.12,1185099.7,3.11
874,111111,,مشهد,909801033641.0,50.0,1400/01/28,1404/01/27 - 02:08:11,4065.521,67798.4,0.91
875,927140,کشاورزی,تایباد,909801036699.0,100.0,1400/09/16,1404/01/26 - 03:09:33,99480.4,183033.2,6.55
876,516349,کشاورزی,مشهد,909801033653.0,150.0,1399/10/22,1404/01/28 - 03:06:38,137067.0,1055324.0,9.89
877,525675,صنعتی,مشهد,909801061712.0,50.0,1403/03/12,1404/01/25 - 03:10:20,,,
878,514617,کشاورزی,مشهد,909801032634.0,80.0,1399/05/25,1404/01/26 - 03:02:28,6912.84,64536.5,7.48
879,14211310,,خرو,929801000195.0,20.0,1402/10/30,1404/01/27 - 12:27:33,,,
880,606007,کشاورزی,تربت حیدریه,909801039279.0,150.0,1400/12/05,1403/07/09 - 08:34:55,528689.61,257145.6,33.09
881,518798,,مشهد,909801061703.0,50.0,1403/03/19,1403/09/03 - 03:10:42,,,
882,515437,کشاورزی,مشهد,909801041145.0,200.0,1401/03/09,1404/01/28 - 03:10:39,0.0,0.0,
883,516907,,قوچان,909801057080.0,50.0,1403/10/30,1404/01/28 - 03:10:38,,,
884,603405,کشاورزی,تربت حیدریه,909801035388.0,200.0,1400/04/06,1404/01/28 - 03:11:20,644924.53,1803723.9,2.6
885,603463,کشاورزی,تربت حیدریه,909801035559.0,200.0,1400/04/06,1404/01/28 - 02:10:34,1325602.3,638904.1,24.45
886,604414,کشاورزی,تربت حیدریه,909801056525.0,125.0,1403/03/22,1404/01/28 - 02:48:47,,,
887,622137,کشاورزی,تربت حیدریه,909801050095.0,125.0,1402/07/24,1404/01/28 - 03:09:09,0.0,776.9,0.8
888,606042,کشاورزی,تربت حیدریه,909801059169.0,150.0,1402/12/14,1404/01/27 - 02:56:07,,,
890,202259,,قوچان,909801056093.0,80.0,1403/02/25,1404/01/28 - 03:07:29,,,
891,200114,,قوچان,909801057073.0,50.0,1403/12/19,1404/01/28 - 03:10:43,,,
892,516190,صنعتی,مشهد,909801032272.0,50.0,1399/02/11,1404/01/28 - 01:03:19,2500.064,52616.7,0.92
893,521084,کشاورزی,درگز,909801059036.0,150.0,1403/02/03,1403/03/06 - 03:10:48,,,
894,606009,کشاورزی,تربت حیدریه,909801037409.0,150.0,1400/12/05,1403/10/09 - 01:32:15,494539.79,208229.0,36.12
895,514901,کشاورزی,مشهد,909801033656.0,150.0,1399/10/24,1403/07/22 - 03:03:51,6842531.328,1712925.4,8.78
896,302593,,گناباد,909801054217.0,100.0,1403/07/08,1403/08/30 - 03:11:40,,,
897,514377,کشاورزی,مشهد,909801035364.0,125.0,1401/01/22,1404/01/28 - 02:10:33,342498.6,239673.7,18.6
898,14211186,,خرو,929801000173.0,40.0,1402/11/02,1404/01/27 - 13:51:47,,,
899,606008,کشاورزی,تربت حیدریه,909801048183.0,150.0,1401/09/23,1402/09/17 - 02:33:31,90143.16,562.5,39.7
900,515590,شرب و بهداشت دام,مشهد,909801033989.0,50.0,1399/11/13,1404/01/28 - 02:03:56,14681.93,125807.0,3.05
901,516239,شرب شهری,مشهد,909801061700.0,50.0,1403/02/06,1404/01/27 - 03:09:18,,,
902,606006,کشاورزی,تربت حیدریه,909801053487.0,200.0,1402/06/08,1404/01/28 - 03:04:50,,,
903,606010,کشاورزی,تربت حیدریه,909801039492.0,150.0,1400/12/18,1404/01/10 - 02:10:52,443507.49,221270.1,31.81
904,518508,شرب شهری,مشهد,909801057811.0,50.0,1402/12/21,1404/01/28 - 03:10:44,,,
905,518404,صنعتی,مشهد,909801055789.0,50.0,1402/07/26,1404/01/28 - 02:59:35,,,
906,529234,,مشهد,909801057595.0,80.0,1403/05/03,1404/01/28 - 03:10:25,,,
908,517268,کشاورزی,مشهد,909801056374.0,150.0,1403/01/29,1404/01/28 - 03:05:03,,,
909,514628,کشاورزی,مشهد,909801035189.0,50.0,1400/06/16,1404/01/28 - 02:09:59,2983.48,16172.2,3.01
910,100439,کشاورزی,سبزوار,909801059522.0,80.0,1403/02/16,1404/01/28 - 03:06:35,,,
911,518472,صنعتی,مشهد,909801049969.0,50.0,1401/12/21,1404/01/28 - 03:10:24,4.236,,2.15
912,603049,کشاورزی,تربت حیدریه,909801048525.0,200.0,1402/02/05,1404/01/28 - 03:09:49,0.0,,
913,302159,کشاورزی,گناباد,909801035392.0,100.0,1400/04/27,1404/01/08 - 02:13:09,70633.33,11671.8,0.86
914,514017,کشاورزی,مشهد,909801033547.0,200.0,1399/09/22,1404/01/28 - 02:09:40,7166205.0,1913953.9,29.75
916,200932,کشاورزی,قوچان,909801057304.0,50.0,1402/10/06,1403/12/20 - 02:57:23,,,
917,805007,کشاورزی,مشهد,909801033089.0,200.0,1399/07/14,1403/06/05 - 00:41:43,1826.6,21074.4,43.18
918,514018,کشاورزی,مشهد,909801033245.0,200.0,1399/08/15,1404/01/28 - 02:08:33,597022.9,1207275.1,18.42
919,517039,صنعتی,مشهد,909801056098.0,80.0,1402/08/14,1404/01/28 - 03:10:32,,,
920,514436,کشاورزی,مشهد,909801058055.0,150.0,1403/02/27,1404/01/28 - 02:48:28,,,
921,1650830542,,فریمان,929801000409.0,15.0,1403/11/18,1404/01/27 - 13:55:26,,,
922,107286,,نیشابور,909801065663.0,150.0,1403/06/19,1404/01/27 - 03:10:54,,,
923,14211153,,خرو,929801000240.0,25.0,1402/12/14,1404/01/27 - 13:51:00,,,
924,606138,کشاورزی,بجستان,909801039719.0,150.0,1400/11/29,1404/01/28 - 02:09:04,2230785.43,1285028.3,29.61
925,529027,کشاورزی,مشهد,909801032139.0,150.0,1399/02/15,1403/12/21 - 03:06:32,403653.55,524880.6,23.78
926,529182,صنعتی,مشهد,909801039483.0,50.0,1401/01/28,1404/01/28 - 03:07:44,12341.71,92155.1,0.82
927,209317,,درگز,909801049681.0,100.0,1402/04/27,1404/01/28 - 03:11:10,0.0,,
928,514378,کشاورزی,مشهد,909801037182.0,150.0,1400/09/01,1402/09/22 - 02:11:31,265532.2,797101.2,9.22
929,518488,صنعتی,مشهد,909801063014.0,80.0,1403/04/06,1404/01/25 - 03:11:13,,,
930,603250,کشاورزی,تربت حیدریه,909801056223.0,125.0,1402/12/20,1404/01/28 - 03:10:58,,,
931,101203,شرب و بهداشت دام,سبزوار,909801055470.0,50.0,1403/03/30,1404/01/28 - 03:10:40,,,
933,603084,کشاورزی,تربت حیدریه,909801059166.0,150.0,1402/12/25,1404/01/28 - 03:10:38,,,
934,14211100,,خرو,929801000261.0,40.0,1403/01/01,1404/01/28 - 03:11:37,,,
935,102847,کشاورزی,سبزوار,909801035614.0,150.0,1400/04/08,1402/02/06 - 02:10:20,776784.7,899375.4,35.11
936,525522,صنعتی,مشهد,909801032909.0,100.0,1399/06/06,1404/01/28 - 02:10:32,1108216.56,596078.6,13.36
937,517251,صنعتی,مشهد,909801033411.0,50.0,1399/09/11,1404/01/28 - 03:11:07,9370.752,55529.5,3.79
938,14211187,,خرو,929801000238.0,25.0,1402/12/02,1404/01/03 - 00:12:46,,,
939,107260,خدمات,نیشابور,909801034821.0,50.0,1400/02/02,1404/01/28 - 03:10:54,10488.957,48139.3,2.45
940,516095,شرب شهری,مشهد,909801041710.0,50.0,1401/06/27,1404/01/28 - 02:00:09,5.257,32.7,0.3
941,200682,صنعتی,قوچان,909801035012.0,50.0,1400/07/26,1404/01/28 - 02:10:05,34.894,2.9,1.92
942,516620,صنعتی,مشهد,909801032978.0,50.0,1399/07/13,1401/07/30 - 02:10:33,-942689.42,3514.4,638.8
943,604634,کشاورزی,تربت حیدریه,909801041122.0,50.0,1401/02/12,1404/01/28 - 12:24:22,3291.629,5243.3,2.6
944,212144,,مشهد,909801041690.0,100.0,1401/04/11,1403/11/27 - 02:10:30,50564.71,420700.5,2.38
945,212151,,مشهد,909801041716.0,50.0,1401/04/23,1404/01/28 - 02:53:56,2103.849,65793.8,1.3
946,212143,,مشهد,909801041733.0,100.0,1401/04/14,1404/01/28 - 03:10:37,38056.97,322162.3,2.03
947,212149,,مشهد,909801044520.0,80.0,1401/04/16,1404/01/28 - 02:09:47,,,
948,212141,,مشهد,909801044521.0,80.0,1401/04/13,1403/08/01 - 01:40:45,,,
949,212146,,مشهد,909801044523.0,80.0,1401/04/16,1404/01/28 - 02:10:33,27757.76,289039.1,1.22
951,212147,,مشهد,909801044533.0,80.0,1401/04/15,1404/01/28 - 02:10:34,12503.79,214471.7,0.79
952,212142,,مشهد,909801044534.0,80.0,1401/04/13,1403/06/30 - 02:55:50,59904.98,444434.0,2.18
955,212150,,مشهد,909801044581.0,50.0,1401/04/23,1403/06/05 - 01:14:11,15430.56,233498.6,0.71
956,212153,,مشهد,909801044748.0,150.0,1401/04/29,1404/01/28 - 02:10:39,1559250.881,82742.4,24.92
957,212154,,مشهد,909801044750.0,150.0,1401/04/28,1402/07/12 - 01:58:11,355377.9,131751.5,23.71
958,806427,,نیشابور,909801063372.0,50.0,1403/06/26,1403/06/25 - 03:11:08,,,
959,805820,,نیشابور,909801067567.0,50.0,1403/07/26,1404/01/28 - 03:10:39,,,
960,530865,صنعتی,مشهد,909801032674.0,50.0,1399/06/04,1404/01/28 - 03:10:34,10250.237,67668.4,2.43
961,514676,کشاورزی,مشهد,909801054139.0,150.0,1402/07/10,1403/01/27 - 03:02:08,,,
962,514444,کشاورزی,مشهد,909801054141.0,150.0,1402/07/08,1404/01/28 - 03:11:36,,,
964,خیام 42,,مشهد,909801041189.0,100.0,1402/11/25,,,,
965,چراغچی 56,,مشهد,909801041190.0,100.0,1402/11/21,,,,
966,بوستان حجاب,,مشهد,909801041193.0,100.0,1402/11/23,,,,
967,41194,,مشهد,909801041194.0,100.0,1402/12/17,,,,
968,مفتح شرقی 1,,مشهد,909801041729.0,125.0,1402/11/08,,,,
969,بوستان فروغی,,مشهد,909801041730.0,125.0,1402/11/08,1403/11/14 - 11:35:33,,,
970,کوی کارمندان,,مشهد,909801045038.0,150.0,1403/01/14,1403/12/14 - 09:41:39,,,
971,پارک پردیس,,مشهد,909801046254.0,200.0,1403/08/10,1403/10/07 - 03:10:35,,,
972,بسیج 42,,مشهد,909801049737.0,100.0,1402/10/30,1402/08/16 - 02:57:38,0.0,297.0,0.55
973,مفتح غربی,,مشهد,909801057424.0,80.0,1402/11/16,,,,
974,بوستان زندگی,,مشهد,909801057425.0,80.0,1402/11/02,,,,
975,بوستان پردیس قائم,,مشهد,909801058261.0,150.0,1402/12/26,1403/10/07 - 03:10:30,,,
976,بوستان رجاء,,مشهد,909801058292.0,125.0,1402/12/26,,,,
977,بوستان نارنج,,مشهد,909801058408.0,125.0,1402/12/27,,,,
978,602886,,خواف,909801055906.0,100.0,1403/07/09,1404/01/27 - 01:51:35,,,
979,516691,شرب و بهداشت دام,قوچان,909801032980.0,50.0,1399/07/15,1403/12/18 - 02:10:10,5020.212,44813.3,1.38
980,518510,شرب و بهداشت دام,قوچان,909801033002.0,50.0,1399/07/20,1404/01/28 - 02:09:28,10795.2,1146.7,0.53
981,514726,صنعتی,مشهد,909801047291.0,200.0,1402/01/30,1403/11/14 - 02:25:58,0.0,,
983,517603,صنعتی,مشهد,909801047412.0,200.0,1402/01/28,1402/01/28 - 03:10:35,0.0,,30.7
984,514727,,مشهد,909801047414.0,200.0,1402/01/29,1402/01/29 - 03:10:38,0.0,,30.3
985,911305,خدمات,تربت جام,909801048829.0,50.0,1403/04/14,1404/01/28 - 03:10:47,0.0,8.5,1.6
986,515938,صنعتی,مشهد,909801044680.0,50.0,1401/06/07,1404/01/28 - 02:05:01,0.075,,2.57
987,517343,,مشهد,909801054214.0,100.0,1403/11/17,1404/01/28 - 03:10:40,,,
988,100669,کشاورزی,سبزوار,909801044405.0,150.0,1401/04/22,1404/01/28 - 01:31:19,156223.65,253075.7,27.22
